Número interno de finca MOVE;Región/ Zona o cooperativa;Técnico a cargo;Nombre productor;Municipio;Departamento
8511;XXXX;YYY;DFGN;XXX;XX
8515;XXXX;KKK;SNBGS;XXX;XX
8516;XXXX;ÑÑÑ;XXX;XXX;XX
8518;XXXX;PPP;FADFBA;XXX;XX
8519;XXXX;QQQ;FDSBSDF;XXX;XX
8520;XXXX;XXX;DFGN;XXX;XX
8522;XXXX;YYY;SNBGS;XXX;XX
8525;XXXX;KKK;XXX;XXX;XX
8528;XXXX;ÑÑÑ;FADFBA;XXX;XX
8529;XXXX;PPP;FDSBSDF;XXX;XX
8530;XXXX;QQQ;DFGN;XXX;XX
8531;XXXX;XXX;SNBGS;XXX;XX
8532;XXXX;YYY;XXX;XXX;XX
8533;XXXX;KKK;FADFBA;XXX;XX
8535;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
8536;XXXX;PPP;DFGN;XXX;XX
8537;XXXX;QQQ;SNBGS;XXX;XX
9113;XXXX;XXX;XXX;XXX;XX
9114;XXXX;YYY;FADFBA;XXX;XX
9115;XXXX;KKK;FDSBSDF;XXX;XX
9116;XXXX;ÑÑÑ;DFGN;XXX;XX
9117;XXXX;PPP;SNBGS;XXX;XX
9118;XXXX;QQQ;XXX;XXX;XX
9119;XXXX;XXX;FADFBA;XXX;XX
9120;XXXX;YYY;FDSBSDF;XXX;XX
9121;XXXX;KKK;DFGN;XXX;XX
9122;XXXX;ÑÑÑ;SNBGS;XXX;XX
9123;XXXX;PPP;XXX;XXX;XX
9125;XXXX;QQQ;FADFBA;XXX;XX
9127;XXXX;XXX;FDSBSDF;XXX;XX
9128;XXXX;YYY;DFGN;XXX;XX
9129;XXXX;KKK;SNBGS;XXX;XX
9130;XXXX;ÑÑÑ;XXX;XXX;XX
9131;XXXX;PPP;FADFBA;XXX;XX
9133;XXXX;QQQ;FDSBSDF;XXX;XX
9134;XXXX;XXX;DFGN;XXX;XX
9135;XXXX;YYY;SNBGS;XXX;XX
9136;XXXX;KKK;XXX;XXX;XX
9137;XXXX;ÑÑÑ;FADFBA;XXX;XX
9139;XXXX;PPP;FDSBSDF;XXX;XX
9140;XXXX;QQQ;DFGN;XXX;XX
9141;XXXX;XXX;SNBGS;XXX;XX
9142;XXXX;YYY;XXX;XXX;XX
9143;XXXX;KKK;FADFBA;XXX;XX
9144;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
9145;XXXX;PPP;DFGN;XXX;XX
9146;XXXX;QQQ;SNBGS;XXX;XX
9147;XXXX;XXX;XXX;XXX;XX
9148;XXXX;YYY;FADFBA;XXX;XX
9149;XXXX;KKK;FDSBSDF;XXX;XX
9150;XXXX;ÑÑÑ;DFGN;XXX;XX
9152;XXXX;PPP;SNBGS;XXX;XX
9154;XXXX;QQQ;XXX;XXX;XX
9155;XXXX;XXX;FADFBA;XXX;XX
9156;XXXX;YYY;FDSBSDF;XXX;XX
9157;XXXX;KKK;DFGN;XXX;XX
9158;XXXX;ÑÑÑ;SNBGS;XXX;XX
9159;XXXX;PPP;XXX;XXX;XX
9160;XXXX;QQQ;FADFBA;XXX;XX
9161;XXXX;XXX;FDSBSDF;XXX;XX
9162;XXXX;YYY;DFGN;XXX;XX
9163;XXXX;KKK;SNBGS;XXX;XX
9164;XXXX;ÑÑÑ;XXX;XXX;XX
9166;XXXX;PPP;FADFBA;XXX;XX
9167;XXXX;QQQ;FDSBSDF;XXX;XX
9168;XXXX;XXX;DFGN;XXX;XX
9169;XXXX;YYY;SNBGS;XXX;XX
9170;XXXX;KKK;XXX;XXX;XX
9171;XXXX;ÑÑÑ;FADFBA;XXX;XX
9172;XXXX;PPP;FDSBSDF;XXX;XX
9173;XXXX;QQQ;DFGN;XXX;XX
9174;XXXX;XXX;SNBGS;XXX;XX
9176;XXXX;YYY;XXX;XXX;XX
9177;XXXX;KKK;FADFBA;XXX;XX
9178;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
9179;XXXX;PPP;DFGN;XXX;XX
9181;XXXX;QQQ;SNBGS;XXX;XX
9182;XXXX;XXX;XXX;XXX;XX
9184;XXXX;YYY;FADFBA;XXX;XX
9186;XXXX;KKK;FDSBSDF;XXX;XX
9187;XXXX;ÑÑÑ;DFGN;XXX;XX
9188;XXXX;PPP;SNBGS;XXX;XX
9189;XXXX;QQQ;XXX;XXX;XX
9190;XXXX;XXX;FADFBA;XXX;XX
9191;XXXX;YYY;FDSBSDF;XXX;XX
9192;XXXX;KKK;DFGN;XXX;XX
9193;XXXX;ÑÑÑ;SNBGS;XXX;XX
9194;XXXX;PPP;XXX;XXX;XX
9195;XXXX;QQQ;FADFBA;XXX;XX
9196;XXXX;XXX;FDSBSDF;XXX;XX
9197;XXXX;YYY;DFGN;XXX;XX
9198;XXXX;KKK;SNBGS;XXX;XX
9199;XXXX;ÑÑÑ;XXX;XXX;XX
9200;XXXX;PPP;FADFBA;XXX;XX
9201;XXXX;QQQ;FDSBSDF;XXX;XX
9202;XXXX;XXX;DFGN;XXX;XX
9203;XXXX;YYY;SNBGS;XXX;XX
9204;XXXX;KKK;XXX;XXX;XX
9206;XXXX;ÑÑÑ;FADFBA;XXX;XX
9207;XXXX;PPP;FDSBSDF;XXX;XX
9209;XXXX;QQQ;DFGN;XXX;XX
9212;XXXX;XXX;SNBGS;XXX;XX
9213;XXXX;YYY;XXX;XXX;XX
9214;XXXX;KKK;FADFBA;XXX;XX
9215;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
9216;XXXX;PPP;DFGN;XXX;XX
9217;XXXX;QQQ;SNBGS;XXX;XX
9218;XXXX;XXX;XXX;XXX;XX
9219;XXXX;YYY;FADFBA;XXX;XX
9220;XXXX;KKK;FDSBSDF;XXX;XX
9221;XXXX;ÑÑÑ;DFGN;XXX;XX
9222;XXXX;PPP;SNBGS;XXX;XX
9223;XXXX;QQQ;XXX;XXX;XX
9224;XXXX;XXX;FADFBA;XXX;XX
9225;XXXX;YYY;FDSBSDF;XXX;XX
9226;XXXX;KKK;DFGN;XXX;XX
9228;XXXX;ÑÑÑ;SNBGS;XXX;XX
9229;XXXX;PPP;XXX;XXX;XX
9231;XXXX;QQQ;FADFBA;XXX;XX
9233;XXXX;XXX;FDSBSDF;XXX;XX
9234;XXXX;YYY;DFGN;XXX;XX
9236;XXXX;KKK;SNBGS;XXX;XX
9238;XXXX;ÑÑÑ;XXX;XXX;XX
9239;XXXX;PPP;FADFBA;XXX;XX
9241;XXXX;QQQ;FDSBSDF;XXX;XX
9242;XXXX;XXX;DFGN;XXX;XX
9243;XXXX;YYY;SNBGS;XXX;XX
9244;XXXX;KKK;XXX;XXX;XX
9246;XXXX;ÑÑÑ;FADFBA;XXX;XX
9247;XXXX;PPP;FDSBSDF;XXX;XX
9249;XXXX;QQQ;DFGN;XXX;XX
9251;XXXX;XXX;SNBGS;XXX;XX
9252;XXXX;YYY;XXX;XXX;XX
9254;XXXX;KKK;FADFBA;XXX;XX
9255;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
9256;XXXX;PPP;DFGN;XXX;XX
9257;XXXX;QQQ;SNBGS;XXX;XX
9258;XXXX;XXX;XXX;XXX;XX
9260;XXXX;YYY;FADFBA;XXX;XX
9261;XXXX;KKK;FDSBSDF;XXX;XX
9262;XXXX;ÑÑÑ;DFGN;XXX;XX
9263;XXXX;PPP;SNBGS;XXX;XX
9265;XXXX;QQQ;XXX;XXX;XX
9267;XXXX;XXX;FADFBA;XXX;XX
9269;XXXX;YYY;FDSBSDF;XXX;XX
9270;XXXX;KKK;DFGN;XXX;XX
9271;XXXX;ÑÑÑ;SNBGS;XXX;XX
9273;XXXX;PPP;XXX;XXX;XX
9274;XXXX;QQQ;FADFBA;XXX;XX
9275;XXXX;XXX;FDSBSDF;XXX;XX
9276;XXXX;YYY;DFGN;XXX;XX
9279;XXXX;KKK;SNBGS;XXX;XX
9280;XXXX;ÑÑÑ;XXX;XXX;XX
9281;XXXX;PPP;FADFBA;XXX;XX
9282;XXXX;QQQ;FDSBSDF;XXX;XX
9283;XXXX;XXX;DFGN;XXX;XX
9284;XXXX;YYY;SNBGS;XXX;XX
9285;XXXX;KKK;XXX;XXX;XX
9287;XXXX;ÑÑÑ;FADFBA;XXX;XX
9289;XXXX;PPP;FDSBSDF;XXX;XX
9290;XXXX;QQQ;DFGN;XXX;XX
9291;XXXX;XXX;SNBGS;XXX;XX
9292;XXXX;YYY;XXX;XXX;XX
9293;XXXX;KKK;FADFBA;XXX;XX
9294;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
9296;XXXX;PPP;DFGN;XXX;XX
9297;XXXX;QQQ;SNBGS;XXX;XX
9299;XXXX;XXX;XXX;XXX;XX
9300;XXXX;YYY;FADFBA;XXX;XX
9301;XXXX;KKK;FDSBSDF;XXX;XX
9302;XXXX;ÑÑÑ;DFGN;XXX;XX
9303;XXXX;PPP;SNBGS;XXX;XX
9304;XXXX;QQQ;XXX;XXX;XX
9305;XXXX;XXX;FADFBA;XXX;XX
9306;XXXX;YYY;FDSBSDF;XXX;XX
9307;XXXX;KKK;DFGN;XXX;XX
9309;XXXX;ÑÑÑ;SNBGS;XXX;XX
9310;XXXX;PPP;XXX;XXX;XX
9312;XXXX;QQQ;FADFBA;XXX;XX
9314;XXXX;XXX;FDSBSDF;XXX;XX
9315;XXXX;YYY;DFGN;XXX;XX
9316;XXXX;KKK;SNBGS;XXX;XX
9317;XXXX;ÑÑÑ;XXX;XXX;XX
9318;XXXX;PPP;FADFBA;XXX;XX
9319;XXXX;QQQ;FDSBSDF;XXX;XX
9320;XXXX;XXX;DFGN;XXX;XX
9321;XXXX;YYY;SNBGS;XXX;XX
9322;XXXX;KKK;XXX;XXX;XX
9323;XXXX;ÑÑÑ;FADFBA;XXX;XX
9324;XXXX;PPP;FDSBSDF;XXX;XX
9325;XXXX;QQQ;DFGN;XXX;XX
9326;XXXX;XXX;SNBGS;XXX;XX
9327;XXXX;YYY;XXX;XXX;XX
9328;XXXX;KKK;FADFBA;XXX;XX
9329;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
9330;XXXX;PPP;DFGN;XXX;XX
9331;XXXX;QQQ;SNBGS;XXX;XX
9332;XXXX;XXX;XXX;XXX;XX
9333;XXXX;YYY;FADFBA;XXX;XX
9334;XXXX;KKK;FDSBSDF;XXX;XX
9335;XXXX;ÑÑÑ;DFGN;XXX;XX
9336;XXXX;PPP;SNBGS;XXX;XX
9337;XXXX;QQQ;XXX;XXX;XX
9339;XXXX;XXX;FADFBA;XXX;XX
9340;XXXX;YYY;FDSBSDF;XXX;XX
9344;XXXX;KKK;DFGN;XXX;XX
9345;XXXX;ÑÑÑ;SNBGS;XXX;XX
9346;XXXX;PPP;XXX;XXX;XX
9347;XXXX;QQQ;FADFBA;XXX;XX
9348;XXXX;XXX;FDSBSDF;XXX;XX
9349;XXXX;YYY;DFGN;XXX;XX
9350;XXXX;KKK;SNBGS;XXX;XX
9351;XXXX;ÑÑÑ;XXX;XXX;XX
9352;XXXX;PPP;FADFBA;XXX;XX
9353;XXXX;QQQ;FDSBSDF;XXX;XX
9354;XXXX;XXX;DFGN;XXX;XX
9355;XXXX;YYY;SNBGS;XXX;XX
9357;XXXX;KKK;XXX;XXX;XX
9359;XXXX;ÑÑÑ;FADFBA;XXX;XX
9360;XXXX;PPP;FDSBSDF;XXX;XX
9361;XXXX;QQQ;DFGN;XXX;XX
9362;XXXX;XXX;SNBGS;XXX;XX
9365;XXXX;YYY;XXX;XXX;XX
9366;XXXX;KKK;FADFBA;XXX;XX
9367;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
9368;XXXX;PPP;DFGN;XXX;XX
9369;XXXX;QQQ;SNBGS;XXX;XX
9370;XXXX;XXX;XXX;XXX;XX
9371;XXXX;YYY;FADFBA;XXX;XX
9372;XXXX;KKK;FDSBSDF;XXX;XX
9373;XXXX;ÑÑÑ;DFGN;XXX;XX
9375;XXXX;PPP;SNBGS;XXX;XX
9376;XXXX;QQQ;XXX;XXX;XX
9378;XXXX;XXX;FADFBA;XXX;XX
9381;XXXX;YYY;FDSBSDF;XXX;XX
9382;XXXX;KKK;DFGN;XXX;XX
9383;XXXX;ÑÑÑ;SNBGS;XXX;XX
9385;XXXX;PPP;XXX;XXX;XX
9389;XXXX;QQQ;FADFBA;XXX;XX
9390;XXXX;XXX;FDSBSDF;XXX;XX
9391;XXXX;YYY;DFGN;XXX;XX
9392;XXXX;KKK;SNBGS;XXX;XX
9393;XXXX;ÑÑÑ;XXX;XXX;XX
9394;XXXX;PPP;FADFBA;XXX;XX
9395;XXXX;QQQ;FDSBSDF;XXX;XX
9396;XXXX;XXX;DFGN;XXX;XX
9397;XXXX;YYY;SNBGS;XXX;XX
9398;XXXX;KKK;XXX;XXX;XX
9400;XXXX;ÑÑÑ;FADFBA;XXX;XX
9401;XXXX;PPP;FDSBSDF;XXX;XX
9402;XXXX;QQQ;DFGN;XXX;XX
9403;XXXX;XXX;SNBGS;XXX;XX
9404;XXXX;YYY;XXX;XXX;XX
9405;XXXX;KKK;FADFBA;XXX;XX
9406;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
9408;XXXX;PPP;DFGN;XXX;XX
9409;XXXX;QQQ;SNBGS;XXX;XX
9410;XXXX;XXX;XXX;XXX;XX
9411;XXXX;YYY;FADFBA;XXX;XX
9412;XXXX;KKK;FDSBSDF;XXX;XX
9414;XXXX;ÑÑÑ;DFGN;XXX;XX
9416;XXXX;PPP;SNBGS;XXX;XX
9417;XXXX;QQQ;XXX;XXX;XX
9419;XXXX;XXX;FADFBA;XXX;XX
9422;XXXX;YYY;FDSBSDF;XXX;XX
9423;XXXX;KKK;DFGN;XXX;XX
9424;XXXX;ÑÑÑ;SNBGS;XXX;XX
9425;XXXX;PPP;XXX;XXX;XX
9426;XXXX;QQQ;FADFBA;XXX;XX
9427;XXXX;XXX;FDSBSDF;XXX;XX
9428;XXXX;YYY;DFGN;XXX;XX
9429;XXXX;KKK;SNBGS;XXX;XX
9430;XXXX;ÑÑÑ;XXX;XXX;XX
9431;XXXX;PPP;FADFBA;XXX;XX
9432;XXXX;QQQ;FDSBSDF;XXX;XX
9433;XXXX;XXX;DFGN;XXX;XX
9434;XXXX;YYY;SNBGS;XXX;XX
9435;XXXX;KKK;XXX;XXX;XX
9436;XXXX;ÑÑÑ;FADFBA;XXX;XX
9437;XXXX;PPP;FDSBSDF;XXX;XX
9438;XXXX;QQQ;DFGN;XXX;XX
9439;XXXX;XXX;SNBGS;XXX;XX
9440;XXXX;YYY;XXX;XXX;XX
9441;XXXX;KKK;FADFBA;XXX;XX
9442;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
9443;XXXX;PPP;DFGN;XXX;XX
9444;XXXX;QQQ;SNBGS;XXX;XX
9445;XXXX;XXX;XXX;XXX;XX
9446;XXXX;YYY;FADFBA;XXX;XX
9447;XXXX;KKK;FDSBSDF;XXX;XX
9449;XXXX;ÑÑÑ;DFGN;XXX;XX
9450;XXXX;PPP;SNBGS;XXX;XX
9451;XXXX;QQQ;XXX;XXX;XX
9452;XXXX;XXX;FADFBA;XXX;XX
9453;XXXX;YYY;FDSBSDF;XXX;XX
9454;XXXX;KKK;DFGN;XXX;XX
9458;XXXX;ÑÑÑ;SNBGS;XXX;XX
9459;XXXX;PPP;XXX;XXX;XX
9460;XXXX;QQQ;FADFBA;XXX;XX
9461;XXXX;XXX;FDSBSDF;XXX;XX
9462;XXXX;YYY;DFGN;XXX;XX
9463;XXXX;KKK;SNBGS;XXX;XX
9464;XXXX;ÑÑÑ;XXX;XXX;XX
9465;XXXX;PPP;FADFBA;XXX;XX
9467;XXXX;QQQ;FDSBSDF;XXX;XX
9470;XXXX;XXX;DFGN;XXX;XX
9471;XXXX;YYY;SNBGS;XXX;XX
9472;XXXX;KKK;XXX;XXX;XX
9473;XXXX;ÑÑÑ;FADFBA;XXX;XX
9474;XXXX;PPP;FDSBSDF;XXX;XX
9475;XXXX;QQQ;DFGN;XXX;XX
9476;XXXX;XXX;SNBGS;XXX;XX
9478;XXXX;YYY;XXX;XXX;XX
9479;XXXX;KKK;FADFBA;XXX;XX
9480;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
9481;XXXX;PPP;DFGN;XXX;XX
9482;XXXX;QQQ;SNBGS;XXX;XX
9483;XXXX;XXX;XXX;XXX;XX
9484;XXXX;YYY;FADFBA;XXX;XX
9485;XXXX;KKK;FDSBSDF;XXX;XX
9488;XXXX;ÑÑÑ;DFGN;XXX;XX
9490;XXXX;PPP;SNBGS;XXX;XX
9497;XXXX;QQQ;XXX;XXX;XX
9498;XXXX;XXX;FADFBA;XXX;XX
9499;XXXX;YYY;FDSBSDF;XXX;XX
9501;XXXX;KKK;DFGN;XXX;XX
9502;XXXX;ÑÑÑ;SNBGS;XXX;XX
9504;XXXX;PPP;XXX;XXX;XX
9505;XXXX;QQQ;FADFBA;XXX;XX
9506;XXXX;XXX;FDSBSDF;XXX;XX
9507;XXXX;YYY;DFGN;XXX;XX
9508;XXXX;KKK;SNBGS;XXX;XX
9511;XXXX;ÑÑÑ;XXX;XXX;XX
9515;XXXX;PPP;FADFBA;XXX;XX
9517;XXXX;QQQ;FDSBSDF;XXX;XX
9519;XXXX;XXX;DFGN;XXX;XX
9520;XXXX;YYY;SNBGS;XXX;XX
9521;XXXX;KKK;XXX;XXX;XX
9522;XXXX;ÑÑÑ;FADFBA;XXX;XX
9523;XXXX;PPP;FDSBSDF;XXX;XX
9524;XXXX;QQQ;DFGN;XXX;XX
9525;XXXX;XXX;SNBGS;XXX;XX
9526;XXXX;YYY;XXX;XXX;XX
9527;XXXX;KKK;FADFBA;XXX;XX
9528;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
9530;XXXX;PPP;DFGN;XXX;XX
9532;XXXX;QQQ;SNBGS;XXX;XX
9533;XXXX;XXX;XXX;XXX;XX
9535;XXXX;YYY;FADFBA;XXX;XX
9536;XXXX;KKK;FDSBSDF;XXX;XX
9537;XXXX;ÑÑÑ;DFGN;XXX;XX
9539;XXXX;PPP;SNBGS;XXX;XX
9541;XXXX;QQQ;XXX;XXX;XX
9542;XXXX;XXX;FADFBA;XXX;XX
9543;XXXX;YYY;FDSBSDF;XXX;XX
9544;XXXX;KKK;DFGN;XXX;XX
9545;XXXX;ÑÑÑ;SNBGS;XXX;XX
9547;XXXX;PPP;XXX;XXX;XX
9549;XXXX;QQQ;FADFBA;XXX;XX
9550;XXXX;XXX;FDSBSDF;XXX;XX
9551;XXXX;YYY;DFGN;XXX;XX
9552;XXXX;KKK;SNBGS;XXX;XX
9554;XXXX;ÑÑÑ;XXX;XXX;XX
9557;XXXX;PPP;FADFBA;XXX;XX
9558;XXXX;QQQ;FDSBSDF;XXX;XX
9559;XXXX;XXX;DFGN;XXX;XX
9560;XXXX;YYY;SNBGS;XXX;XX
9563;XXXX;KKK;XXX;XXX;XX
9565;XXXX;ÑÑÑ;FADFBA;XXX;XX
9567;XXXX;PPP;FDSBSDF;XXX;XX
9569;XXXX;QQQ;DFGN;XXX;XX
9570;XXXX;XXX;SNBGS;XXX;XX
9571;XXXX;YYY;XXX;XXX;XX
9572;XXXX;KKK;FADFBA;XXX;XX
9573;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
9574;XXXX;PPP;DFGN;XXX;XX
9575;XXXX;QQQ;SNBGS;XXX;XX
9576;XXXX;XXX;XXX;XXX;XX
9577;XXXX;YYY;FADFBA;XXX;XX
9579;XXXX;KKK;FDSBSDF;XXX;XX
9580;XXXX;ÑÑÑ;DFGN;XXX;XX
9584;XXXX;PPP;SNBGS;XXX;XX
9585;XXXX;QQQ;XXX;XXX;XX
9586;XXXX;XXX;FADFBA;XXX;XX
9587;XXXX;YYY;FDSBSDF;XXX;XX
9588;XXXX;KKK;DFGN;XXX;XX
9589;XXXX;ÑÑÑ;SNBGS;XXX;XX
9590;XXXX;PPP;XXX;XXX;XX
9591;XXXX;QQQ;FADFBA;XXX;XX
9593;XXXX;XXX;FDSBSDF;XXX;XX
9596;XXXX;YYY;DFGN;XXX;XX
9597;XXXX;KKK;SNBGS;XXX;XX
9599;XXXX;ÑÑÑ;XXX;XXX;XX
9602;XXXX;PPP;FADFBA;XXX;XX
9603;XXXX;QQQ;FDSBSDF;XXX;XX
9604;XXXX;XXX;DFGN;XXX;XX
9606;XXXX;YYY;SNBGS;XXX;XX
9607;XXXX;KKK;XXX;XXX;XX
9608;XXXX;ÑÑÑ;FADFBA;XXX;XX
9611;XXXX;PPP;FDSBSDF;XXX;XX
9613;XXXX;QQQ;DFGN;XXX;XX
9614;XXXX;XXX;SNBGS;XXX;XX
9615;XXXX;YYY;XXX;XXX;XX
9617;XXXX;KKK;FADFBA;XXX;XX
9618;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
9619;XXXX;PPP;DFGN;XXX;XX
9622;XXXX;QQQ;SNBGS;XXX;XX
9623;XXXX;XXX;XXX;XXX;XX
9625;XXXX;YYY;FADFBA;XXX;XX
9626;XXXX;KKK;FDSBSDF;XXX;XX
9628;XXXX;ÑÑÑ;DFGN;XXX;XX
9629;XXXX;PPP;SNBGS;XXX;XX
9630;XXXX;QQQ;XXX;XXX;XX
9631;XXXX;XXX;FADFBA;XXX;XX
9632;XXXX;YYY;FDSBSDF;XXX;XX
9633;XXXX;KKK;DFGN;XXX;XX
9637;XXXX;ÑÑÑ;SNBGS;XXX;XX
9641;XXXX;PPP;XXX;XXX;XX
9644;XXXX;QQQ;FADFBA;XXX;XX
9645;XXXX;XXX;FDSBSDF;XXX;XX
9647;XXXX;YYY;DFGN;XXX;XX
9652;XXXX;KKK;SNBGS;XXX;XX
9653;XXXX;ÑÑÑ;XXX;XXX;XX
9654;XXXX;PPP;FADFBA;XXX;XX
9655;XXXX;QQQ;FDSBSDF;XXX;XX
9657;XXXX;XXX;DFGN;XXX;XX
9660;XXXX;YYY;SNBGS;XXX;XX
9661;XXXX;KKK;XXX;XXX;XX
9669;XXXX;ÑÑÑ;FADFBA;XXX;XX
9670;XXXX;PPP;FDSBSDF;XXX;XX
9672;XXXX;QQQ;DFGN;XXX;XX
9674;XXXX;XXX;SNBGS;XXX;XX
9675;XXXX;YYY;XXX;XXX;XX
9676;XXXX;KKK;FADFBA;XXX;XX
9677;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
9678;XXXX;PPP;DFGN;XXX;XX
9679;XXXX;QQQ;SNBGS;XXX;XX
9680;XXXX;XXX;XXX;XXX;XX
9681;XXXX;YYY;FADFBA;XXX;XX
9682;XXXX;KKK;FDSBSDF;XXX;XX
9683;XXXX;ÑÑÑ;DFGN;XXX;XX
9684;XXXX;PPP;SNBGS;XXX;XX
9685;XXXX;QQQ;XXX;XXX;XX
9686;XXXX;XXX;FADFBA;XXX;XX
9687;XXXX;YYY;FDSBSDF;XXX;XX
9688;XXXX;KKK;DFGN;XXX;XX
9689;XXXX;ÑÑÑ;SNBGS;XXX;XX
9690;XXXX;PPP;XXX;XXX;XX
9691;XXXX;QQQ;FADFBA;XXX;XX
9692;XXXX;XXX;FDSBSDF;XXX;XX
9693;XXXX;YYY;DFGN;XXX;XX
9694;XXXX;KKK;SNBGS;XXX;XX
9695;XXXX;ÑÑÑ;XXX;XXX;XX
9696;XXXX;PPP;FADFBA;XXX;XX
9697;XXXX;QQQ;FDSBSDF;XXX;XX
9698;XXXX;XXX;DFGN;XXX;XX
9699;XXXX;YYY;SNBGS;XXX;XX
9700;XXXX;KKK;XXX;XXX;XX
9701;XXXX;ÑÑÑ;FADFBA;XXX;XX
9702;XXXX;PPP;FDSBSDF;XXX;XX
9703;XXXX;QQQ;DFGN;XXX;XX
9704;XXXX;XXX;SNBGS;XXX;XX
9705;XXXX;YYY;XXX;XXX;XX
9706;XXXX;KKK;FADFBA;XXX;XX
9707;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
9708;XXXX;PPP;DFGN;XXX;XX
9709;XXXX;QQQ;SNBGS;XXX;XX
9710;XXXX;XXX;XXX;XXX;XX
9711;XXXX;YYY;FADFBA;XXX;XX
9712;XXXX;KKK;FDSBSDF;XXX;XX
9714;XXXX;ÑÑÑ;DFGN;XXX;XX
9715;XXXX;PPP;SNBGS;XXX;XX
9716;XXXX;QQQ;XXX;XXX;XX
9717;XXXX;XXX;FADFBA;XXX;XX
9718;XXXX;YYY;FDSBSDF;XXX;XX
9719;XXXX;KKK;DFGN;XXX;XX
9720;XXXX;ÑÑÑ;SNBGS;XXX;XX
9721;XXXX;PPP;XXX;XXX;XX
9722;XXXX;QQQ;FADFBA;XXX;XX
9723;XXXX;XXX;FDSBSDF;XXX;XX
9724;XXXX;YYY;DFGN;XXX;XX
9725;XXXX;KKK;SNBGS;XXX;XX
9726;XXXX;ÑÑÑ;XXX;XXX;XX
9727;XXXX;PPP;FADFBA;XXX;XX
9728;XXXX;QQQ;FDSBSDF;XXX;XX
9729;XXXX;XXX;DFGN;XXX;XX
9730;XXXX;YYY;SNBGS;XXX;XX
9731;XXXX;KKK;XXX;XXX;XX
9732;XXXX;ÑÑÑ;FADFBA;XXX;XX
9733;XXXX;PPP;FDSBSDF;XXX;XX
9734;XXXX;QQQ;DFGN;XXX;XX
9735;XXXX;XXX;SNBGS;XXX;XX
9736;XXXX;YYY;XXX;XXX;XX
9737;XXXX;KKK;FADFBA;XXX;XX
9738;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
9739;XXXX;PPP;DFGN;XXX;XX
9740;XXXX;QQQ;SNBGS;XXX;XX
9741;XXXX;XXX;XXX;XXX;XX
9742;XXXX;YYY;FADFBA;XXX;XX
9743;XXXX;KKK;FDSBSDF;XXX;XX
9744;XXXX;ÑÑÑ;DFGN;XXX;XX
9745;XXXX;PPP;SNBGS;XXX;XX
9746;XXXX;QQQ;XXX;XXX;XX
9747;XXXX;XXX;FADFBA;XXX;XX
9748;XXXX;YYY;FDSBSDF;XXX;XX
9749;XXXX;KKK;DFGN;XXX;XX
9750;XXXX;ÑÑÑ;SNBGS;XXX;XX
9751;XXXX;PPP;XXX;XXX;XX
9752;XXXX;QQQ;FADFBA;XXX;XX
9753;XXXX;XXX;FDSBSDF;XXX;XX
9754;XXXX;YYY;DFGN;XXX;XX
9755;XXXX;KKK;SNBGS;XXX;XX
9756;XXXX;ÑÑÑ;XXX;XXX;XX
9757;XXXX;PPP;FADFBA;XXX;XX
9758;XXXX;QQQ;FDSBSDF;XXX;XX
9759;XXXX;XXX;DFGN;XXX;XX
9761;XXXX;YYY;SNBGS;XXX;XX
9762;XXXX;KKK;XXX;XXX;XX
9763;XXXX;ÑÑÑ;FADFBA;XXX;XX
9765;XXXX;PPP;FDSBSDF;XXX;XX
9767;XXXX;QQQ;DFGN;XXX;XX
9768;XXXX;XXX;SNBGS;XXX;XX
9769;XXXX;YYY;XXX;XXX;XX
9770;XXXX;KKK;FADFBA;XXX;XX
9771;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
9773;XXXX;PPP;DFGN;XXX;XX
9774;XXXX;QQQ;SNBGS;XXX;XX
9775;XXXX;XXX;XXX;XXX;XX
9776;XXXX;YYY;FADFBA;XXX;XX
9777;XXXX;KKK;FDSBSDF;XXX;XX
9778;XXXX;ÑÑÑ;DFGN;XXX;XX
9779;XXXX;PPP;SNBGS;XXX;XX
9780;XXXX;QQQ;XXX;XXX;XX
9782;XXXX;XXX;FADFBA;XXX;XX
9784;XXXX;YYY;FDSBSDF;XXX;XX
9785;XXXX;KKK;DFGN;XXX;XX
9786;XXXX;ÑÑÑ;SNBGS;XXX;XX
9787;XXXX;PPP;XXX;XXX;XX
9788;XXXX;QQQ;FADFBA;XXX;XX
9789;XXXX;XXX;FDSBSDF;XXX;XX
